Date_UTC,MLT,MLAT,GLON,GLAT
1996-03-30 04:11:57,359.30,68.70,287.90,58.60
1996-03-30 05:18:48,353.90,68.50,274.40,57.60
1996-03-30 06:52:02,336.00,69.50,249.10,61.50
1996-03-30 22:42:05,353.40,65.90,355.10,67.00
1996-03-31 00:25:54,346.90,66.50,321.40,62.40
1996-03-31 01:27:14,349.30,66.70,310.30,60.40
1996-03-31 04:49:38,5.80,67.50,286.40,57.10
1996-03-31 05:57:33,336.30,66.70,257.40,57.10
1996-03-31 16:22:41,336.80,66.20,91.20,71.30
1996-03-31 22:20:54,0.60,66.10,10.00,68.60
1996-03-31 23:23:54,334.10,66.30,323.50,62.60
1996-04-01 11:19:40,331.80,67.00,179.70,71.30
1996-04-01 15:49:41,344.50,66.30,110.60,71.80
1996-04-02 03:06:39,347.30,68.10,290.70,58.30
1996-04-02 04:57:40,339.80,67.30,269.00,56.50
1996-04-02 19:47:00,10.20,65.70,66.80,70.40
1996-04-02 22:49:56,20.70,65.00,26.80,68.60
1996-04-03 15:30:54,345.20,65.30,117.00,70.90
1996-04-03 16:16:17,340.20,66.80,97.40,72.10
1996-04-03 17:33:34,328.30,67.40,58.90,72.10
1996-04-03 18:48:22,0.70,68.70,71.60,73.70
1996-04-03 19:58:17,358.10,67.60,48.00,72.10
1996-04-03 20:53:30,15.50,66.30,53.60,70.90
1996-04-03 21:51:09,352.20,65.90,8.20,68.30
1996-04-04 06:18:23,330.40,64.90,249.40,56.70
1996-04-04 12:13:30,339.90,65.60,171.90,70.50
1996-04-04 12:54:26,335.70,66.00,153.60,71.70
1996-04-05 02:24:02,343.60,69.40,295.00,60.30
1996-04-05 06:53:54,328.70,68.10,243.10,61.30
1996-04-05 21:23:46,340.60,67.90,0.20,69.50
1996-04-06 03:59:59,335.30,68.80,275.10,57.90
1996-04-06 13:17:20,5.00,69.60,190.80,72.60
1996-04-06 15:04:40,352.00,70.00,138.20,75.90
1996-04-06 15:38:24,16.70,71.50,163.50,76.70
1996-04-06 17:39:51,352.00,70.00,82.50,75.30
1996-04-07 11:22:08,343.10,68.20,194.80,70.80
1996-04-08 21:20:52,16.30,65.60,46.50,70.00
1996-04-09 12:23:50,330.30,66.00,156.40,71.70
1996-04-09 14:38:46,342.20,66.00,131.00,71.90
1996-04-10 07:09:46,330.70,66.70,241.10,60.30
1996-04-10 08:36:25,336.80,66.20,228.40,62.60
1996-04-11 00:18:30,320.90,67.10,301.10,59.00
1996-04-11 13:42:34,339.80,67.30,146.30,73.20
1996-04-12 07:37:17,330.40,64.90,234.70,59.90
1996-04-12 10:41:44,337.10,64.60,195.90,67.10
1996-04-12 14:52:08,346.80,62.30,130.90,68.20
1996-04-13 21:57:07,336.80,66.20,347.30,66.40
1996-04-13 22:15:31,354.70,65.50,3.50,67.50
1996-04-13 22:36:22,332.50,65.40,333.00,63.50
1996-04-20 11:02:40,343.70,65.60,198.90,67.70
1996-04-20 16:36:56,354.80,65.00,107.90,70.40
1996-04-21 07:51:35,331.50,64.00,232.30,59.60
1996-04-22 01:34:30,350.40,64.20,310.10,57.90
1996-04-22 02:43:38,2.70,63.50,306.90,56.50
1996-04-22 18:36:18,325.20,66.50,33.40,70.50
1996-04-23 10:09:01,348.20,64.00,216.30,63.00
1996-04-23 10:32:56,334.10,66.30,196.70,68.70
1996-04-23 14:27:14,346.30,65.40,140.90,71.30
1996-04-23 14:54:50,342.90,65.00,127.70,70.80
1996-04-23 15:43:17,320.70,66.40,87.20,71.50
1996-04-23 17:02:24,331.10,68.60,71.70,73.60
1996-04-24 02:03:31,342.90,65.00,299.40,56.50
1996-04-24 06:51:10,335.30,68.80,248.70,60.90
1996-04-24 11:11:50,332.40,66.50,183.10,70.50
1996-04-24 19:21:08,352.30,65.40,52.40,69.90
1996-04-25 02:38:36,358.10,67.10,303.30,59.40
